1, 24
2, 24
3, 22
4, 31
5, 16
6, 23
7, 24
8, 24
9, 23
10, 23
11, 23
12, 23
13, 23
14, 23
15, 23
16, 23
17, 23
18, 23
19, 23
20, 23
21, 23
22, 23
23, 23
24, 23
25, 23
26, 23
27, 23
28, 23
29, 23
30, 23
31, 23
32, 23
33, 23
34, 23
35, 26
36, 26
37, 23
38, 23
39, 23
40, 23
41, 23
42, 23
43, 23
44, 23
45, 23
46, 23
47, 23
48, 23
49, 23
50, 23
51, 23
52, 23
53, 23
54, 23
55, 23
56, 23
57, 23
58, 23
59, 23
60, 23
61, 23
62, 23
63, 23
64, 23
65, 25
66, 25
67, 22
68, 27
69, 22
70, 22
71, 22
72, 22
73, 24
74, 24
75, 24
76, 24
77, 24
78, 24
79, 24
80, 24
81, 24
82, 24
83, 24
84, 24
85, 24
86, 24
87, 24
88, 24
89, 24
90, 24
91, 24
92, 24
93, 24
94, 24
95, 24
96, 24
97, 23
98, 23
99, 23
100, 23
101, 23
102, 23
103, 23
104, 23
105, 23
106, 23
107, 23
108, 23
109, 23
110, 23
111, 23
112, 23
113, 23
114, 23
115, 24
116, 30
117, 16
118, 24
119, 23
120, 23
121, 23
122, 23
123, 23
124, 23
125, 23
126, 23
127, 23
128, 23
